DNN,EFFECTIVE_DATE,EXPIRY_DATE,OUTPUT_DNN
testnrfwbbclm3anrz1,20200101000000,20381231235959,nrfwbb
testnrfwbbjcv2anrz1,20200101000000,20381231235959,nrfwbb
testnrfwbbkgm6fnrz1,20200101000000,20381231235959,nrfwbb
testnrfwbbksc5anrz1,20200101000000,20381231235959,nrfwbb
testnrfwbblbc1anrz1,20200101000000,20381231235959,nrfwbb
testnrfwbblsa5bnrz1,20200101000000,20381231235959,nrfwbb
testnrfwbbshp1bnrz1,20200101000000,20381231235959,nrfwbb
testnrfwbbtac1anrz1,20200101000000,20381231235959,nrfwbb
testnrfwbbtcs1anrz1,20200101000000,20381231235959,nrfwbb
testnrhotspotalb1cnrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotatl3fnrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotclm3anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotfrb1anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotipl2anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotjcv2anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotkgm6fnrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotksc5anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotlbc1anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotlsa5bnrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotnwo2anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotshp1bnrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotsnt4anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspottac1anrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotwah2gnrz1,20200101000000,20381231235959,nrhotspot
testnrhotspotwhp3gnrz1,20200101000000,20381231235959,nrhotspot
testnrphonealb1cnrz1,20200101000000,20381231235959,nrphone
testnrphoneatl3fnrz1,20200101000000,20381231235959,nrphone
testnrphoneclm3anrz1,20200101000000,20381231235959,nrphone
testnrphonefrb1anrz1,20200101000000,20381231235959,nrphone
testnrphoneipl2anrz1,20200101000000,20381231235959,nrphone
testnrphonejcv2anrz1,20200101000000,20381231235959,nrphone
testnrphonekgm6fnrz1,20200101000000,20381231235959,nrphone
testnrphoneksc5anrz1,20200101000000,20381231235959,nrphone
testnrphonelbc1anrz1,20200101000000,20381231235959,nrphone
testnrphonelsa5bnrz1,20200101000000,20381231235959,nrphone
testnrphonenwo2anrz1,20200101000000,20381231235959,nrphone
testnrphoneshp1bnrz1,20200101000000,20381231235959,nrphone
testnrphonesnt4anrz1,20200101000000,20381231235959,nrphone
testnrphonetac1anrz1,20200101000000,20381231235959,nrphone
testnrphonewah2gnrz1,20200101000000,20381231235959,nrphone
testnrphonewhp3gnrz1,20200101000000,20381231235959,nrphone
testonstar01v6all4hnrz1,20200101000000,20381231235959,onstar01.v6
testonstar01v6atl3gnrz1,20200101000000,20381231235959,onstar01.v6
testonstar01v6brp1enrz1,20200101000000,20381231235959,onstar01.v6
testonstar01v6ksc3cnrz1,20200101000000,20381231235959,onstar01.v6
testonstar01v6lsa5cnrz1,20200101000000,20381231235959,onstar01.v6
testonstar01v6snd4anrz1,20200101000000,20381231235959,onstar01.v6
testonstar01v6stt2fnrz1,20200101000000,20381231235959,onstar01.v6
testonstar01v6was4enrz1,20200101000000,20381231235959,onstar01.v6
testonstarihualb1cnrz1,20200101000000,20381231235959,onstarihu
testonstarihuatl3fnrz1,20200101000000,20381231235959,onstarihu
testonstarihuclm3anrz1,20200101000000,20381231235959,onstarihu
testonstarihufrb1anrz1,20200101000000,20381231235959,onstarihu
testonstarihuipl2anrz1,20200101000000,20381231235959,onstarihu
testonstarihujcv2anrz1,20200101000000,20381231235959,onstarihu
testonstarihukgm6fnrz1,20200101000000,20381231235959,onstarihu
testonstarihuksc5anrz1,20200101000000,20381231235959,onstarihu
testonstarihulbc1anrz1,20200101000000,20381231235959,onstarihu
testonstarihulsa5bnrz1,20200101000000,20381231235959,onstarihu
testonstarihunwo2anrz1,20200101000000,20381231235959,onstarihu
testonstarihushp1bnrz1,20200101000000,20381231235959,onstarihu
testonstarihusnt4anrz1,20200101000000,20381231235959,onstarihu
testonstarihutac1anrz1,20200101000000,20381231235959,onstarihu
testonstarihuwah2gnrz1,20200101000000,20381231235959,onstarihu
testonstarihuwhp3gnrz1,20200101000000,20381231235959,onstarihu
testonstarwfalb1cnrz1,20200101000000,20381231235959,onstarwifi
testonstarwfatl3fnrz1,20200101000000,20381231235959,onstarwifi
testonstarwfclm3anrz1,20200101000000,20381231235959,onstarwifi
testonstarwffrb1anrz1,20200101000000,20381231235959,onstarwifi
testonstarwfipl2anrz1,20200101000000,20381231235959,onstarwifi
testonstarwfjcv2anrz1,20200101000000,20381231235959,onstarwifi
testonstarwfkgm6fnrz1,20200101000000,20381231235959,onstarwifi
testonstarwfksc5anrz1,20200101000000,20381231235959,onstarwifi
testonstarwflbc1anrz1,20200101000000,20381231235959,onstarwifi
testonstarwflsa5bnrz1,20200101000000,20381231235959,onstarwifi
testonstarwfnwo2anrz1,20200101000000,20381231235959,onstarwifi
testonstarwfshp1bnrz1,20200101000000,20381231235959,onstarwifi
testonstarwfsnt4anrz1,20200101000000,20381231235959,onstarwifi
testonstarwftac1anrz1,20200101000000,20381231235959,onstarwifi
testonstarwfwah2gnrz1,20200101000000,20381231235959,onstarwifi
testonstarwfwhp3gnrz1,20200101000000,20381231235959,onstarwifi
testt3ball4h.etr,20200101000000,20381231235959,onstar01.v6
testt3batl3g.etr,20200101000000,20381231235959,onstar01.v6
testt3bbrp1e.etr,20200101000000,20381231235959,onstar01.v6
testt3bksc3c.etr,20200101000000,20381231235959,onstar01.v6
testt3blsa5c.etr,20200101000000,20381231235959,onstar01.v6
testt3bsnd4a.etr,20200101000000,20381231235959,onstar01.v6
testt3bstt2f.etr,20200101000000,20381231235959,onstar01.v6
testt3bwas4e.etr,20200101000000,20381231235959,onstar01.v6
t1nofwtest.etr,20200101000000,20381231235959,privateRouting5G
t2momttest.etr,20200101000000,20381231235959,privateRouting5G
t2mowltest.etr,20200101000000,20381231235959,privateRouting5G
pp.telematics.5g.att.na.ford,20230522000000,20381231235959,telematics.5g.att.na.ford
testperfbbatl3fnrz1,20210101000000,21001231235959,nrhotspot
testperfbbclm3anrz1,20210101000000,21001231235959,nrhotspot
testperfbbkgm6fnrz1,20210101000000,21001231235959,nrhotspot
testperfbbjcv2anrz1,20210101000000,21001231235959,nrhotspot
testperfbbwah2gnrz1,20210101000000,21001231235959,nrhotspot
testperfbbwhp3gnrz1,20210101000000,21001231235959,nrhotspot
testperfbbshp1bnrz1,20210101000000,21001231235959,nrhotspot
testperfbblbc1anrz1,20210101000000,21001231235959,nrhotspot
testperfbbksc5anrz1,20210101000000,21001231235959,nrhotspot
testperfbbnwo2anrz1,20210101000000,21001231235959,nrhotspot
testperfbbfrb1anrz1,20210101000000,21001231235959,nrhotspot
testperfbbipl2anrz1,20210101000000,21001231235959,nrhotspot
testperfbbtac1anrz1,20210101000000,21001231235959,nrhotspot
testperfbblsa5bnrz1,20210101000000,21001231235959,nrhotspot
testperfbbalb1cnrz1,20210101000000,21001231235959,nrhotspot
testperfbbsnt4anrz1,20210101000000,21001231235959,nrhotspot
inft.5g.att.na.ford,20230522000000,20381231235959,telematics.5g.att.na.ford
10475.mcs,20200101000000,20381231235959,apex-proprietary
10799.mcs,20200101000000,20381231235959,apex-proprietary
10800.mcs,20200101000000,20381231235959,apex-proprietary
11141.mcs,20200101000000,20381231235959,apex-proprietary
11166.mcs,20200101000000,20381231235959,apex-proprietary
11205.mcs,20200101000000,20381231235959,apex-proprietary
11216.mcs,20200101000000,20381231235959,apex-proprietary
11243.mcs,20200101000000,20381231235959,apex-proprietary
11929.mcs,20200101000000,20381231235959,apex-proprietary
12132.mcs,20200101000000,20381231235959,apex-proprietary
12225.mcs,20200101000000,20381231235959,apex-proprietary
12666.mcs,20200101000000,20381231235959,apex-proprietary
12666.mcs.old,20200101000000,20381231235959,apex-proprietary
12727.mcs,20200101000000,20381231235959,apex-proprietary
13291.mcs,20200101000000,20381231235959,apex-proprietary
13564.mcs,20200101000000,20381231235959,apex-proprietary
13565.mcs,20200101000000,20381231235959,apex-proprietary
13565.mcs.old,20200101000000,20381231235959,apex-proprietary
13651.mcs,20200101000000,20381231235959,apex-proprietary
13652.mcs,20200101000000,20381231235959,apex-proprietary
13707.mcs,20200101000000,20381231235959,apex-proprietary
13726.mcs,20200101000000,20381231235959,apex-proprietary
13736.mcs,20200101000000,20381231235959,apex-proprietary
13816.mcs,20200101000000,20381231235959,apex-proprietary
13818.mcs,20200101000000,20381231235959,apex-proprietary
14068.mcs,20200101000000,20381231235959,apex-proprietary
14076.mcs,20200101000000,20381231235959,apex-proprietary
14083.mcs,20200101000000,20381231235959,apex-proprietary
14240.mcs,20200101000000,20381231235959,apex-proprietary
14334.mcs,20200101000000,20381231235959,apex-proprietary
14353.mcs,20200101000000,20381231235959,apex-proprietary
14354.mcs,20200101000000,20381231235959,apex-proprietary
14393.mcs,20200101000000,20381231235959,apex-proprietary
14398.mcs,20200101000000,20381231235959,apex-proprietary
14399.mcs,20200101000000,20381231235959,apex-proprietary
14399.mcs.old,20200101000000,20381231235959,apex-proprietary
14483.mcs,20200101000000,20381231235959,apex-proprietary
14516.mcs,20200101000000,20381231235959,apex-proprietary
14519.mcs,20200101000000,20381231235959,apex-proprietary
14757.mcs,20200101000000,20381231235959,apex-proprietary
14759.mcs,20200101000000,20381231235959,apex-proprietary
14829.mcs,20200101000000,20381231235959,apex-proprietary
14902.mcs,20200101000000,20381231235959,apex-proprietary
14906.mcs,20200101000000,20381231235959,apex-proprietary
14938.mcs,20200101000000,20381231235959,apex-proprietary
14949.mcs,20200101000000,20381231235959,apex-proprietary
15015.mcs,20200101000000,20381231235959,apex-proprietary
15028.mcs,20200101000000,20381231235959,apex-proprietary
15040.mcs,20200101000000,20381231235959,apex-proprietary
15123.mcs,20200101000000,20381231235959,apex-proprietary
15332.mcs,20200101000000,20381231235959,apex-proprietary
15355.mcs,20200101000000,20381231235959,apex-proprietary
15413.mcs,20200101000000,20381231235959,apex-proprietary
15437.mcs,20200101000000,20381231235959,apex-proprietary
15477.mcs,20200101000000,20381231235959,apex-proprietary
18103.mcs,20200101000000,20381231235959,apex-proprietary
18369.mcs,20200101000000,20381231235959,apex-proprietary
18379.mcs,20200101000000,20381231235959,apex-proprietary
18475.mcs,20200101000000,20381231235959,apex-proprietary
18536.mcs,20200101000000,20381231235959,apex-proprietary
18537.mcs,20200101000000,20381231235959,apex-proprietary
18538.mcs,20200101000000,20381231235959,apex-proprietary
18539.mcs,20200101000000,20381231235959,apex-proprietary
18571.mcs,20200101000000,20381231235959,apex-proprietary
18598.mcs,20200101000000,20381231235959,apex-proprietary
18629.mcs,20200101000000,20381231235959,apex-proprietary
18674.mcs,20200101000000,20381231235959,apex-proprietary
18749.mcs,20200101000000,20381231235959,apex-proprietary
18755.mcs,20200101000000,20381231235959,apex-proprietary
18807.mcs,20200101000000,20381231235959,apex-proprietary
18814.mcs,20200101000000,20381231235959,apex-proprietary
18815.mcs,20200101000000,20381231235959,apex-proprietary
18848.fn,20200101000000,20381231235959,apex-proprietary
18879.mcs,20200101000000,20381231235959,apex-proprietary
18920.mcs,20200101000000,20381231235959,apex-proprietary
19032.mcs,20200101000000,20381231235959,apex-proprietary
19059.mcs,20200101000000,20381231235959,apex-proprietary
19739.mcs,20200101000000,20381231235959,apex-proprietary
19740.mcs,20200101000000,20381231235959,apex-proprietary
19759.mcs,20200101000000,20381231235959,apex-proprietary
30121.mcs,20200101000000,20381231235959,apex-proprietary
30122.mcs,20200101000000,20381231235959,apex-proprietary
30194.mcs,20200101000000,20381231235959,apex-proprietary
30305.mcs,20200101000000,20381231235959,apex-proprietary
30351.mcs,20200101000000,20381231235959,apex-proprietary
30451.mcs,20200101000000,20381231235959,apex-proprietary
30491.mcs,20200101000000,20381231235959,apex-proprietary
30691.mcs,20200101000000,20381231235959,apex-proprietary
30864.mcs,20200101000000,20381231235959,apex-proprietary
30885.mcs,20200101000000,20381231235959,apex-proprietary
30996.mcs,20200101000000,20381231235959,apex-proprietary
31143.mcs,20200101000000,20381231235959,apex-proprietary
31206.mcs,20200101000000,20381231235959,apex-proprietary
31261.mcs,20200101000000,20381231235959,apex-proprietary
31291.mcs,20200101000000,20381231235959,apex-proprietary
31333.mcs,20200101000000,20381231235959,apex-proprietary
31334.mcs,20200101000000,20381231235959,apex-proprietary
31378.mcs,20200101000000,20381231235959,apex-proprietary
31572.mcs,20200101000000,20381231235959,apex-proprietary
31573.mcs,20200101000000,20381231235959,apex-proprietary
31732.mcs,20200101000000,20381231235959,apex-proprietary
31766.mcs,20200101000000,20381231235959,apex-proprietary
31767.mcs,20200101000000,20381231235959,apex-proprietary
31768.mcs,20200101000000,20381231235959,apex-proprietary
31769.mcs,20200101000000,20381231235959,apex-proprietary
31777.mcs,20200101000000,20381231235959,apex-proprietary
31820.mcs,20200101000000,20381231235959,apex-proprietary
31821.mcs,20200101000000,20381231235959,apex-proprietary
31851.mcs,20200101000000,20381231235959,apex-proprietary
31853.mcs,20200101000000,20381231235959,apex-proprietary
31871.mcs,20200101000000,20381231235959,apex-proprietary
31977.mcs,20200101000000,20381231235959,apex-proprietary
32176.mcs,20200101000000,20381231235959,apex-proprietary
32184.mcs,20200101000000,20381231235959,apex-proprietary
32330.mcs,20200101000000,20381231235959,apex-proprietary
32331.mcs,20200101000000,20381231235959,apex-proprietary
32332.mcs,20200101000000,20381231235959,apex-proprietary
32333.mcs,20200101000000,20381231235959,apex-proprietary
32334.mcs,20200101000000,20381231235959,apex-proprietary
32336.mcs,20200101000000,20381231235959,apex-proprietary
32337.mcs,20200101000000,20381231235959,apex-proprietary
32338.mcs,20200101000000,20381231235959,apex-proprietary
32339.mcs,20200101000000,20381231235959,apex-proprietary
32343.mcs,20200101000000,20381231235959,apex-proprietary
32345.mcs,20200101000000,20381231235959,apex-proprietary
32346.mcs,20200101000000,20381231235959,apex-proprietary
32347.mcs,20200101000000,20381231235959,apex-proprietary
32348.mcs,20200101000000,20381231235959,apex-proprietary
32350.mcs,20200101000000,20381231235959,apex-proprietary
32351.mcs,20200101000000,20381231235959,apex-proprietary
32352.mcs,20200101000000,20381231235959,apex-proprietary
32353.mcs,20200101000000,20381231235959,apex-proprietary
32356.mcs,20200101000000,20381231235959,apex-proprietary
32357.mcs,20200101000000,20381231235959,apex-proprietary
32358.mcs,20200101000000,20381231235959,apex-proprietary
32359.mcs,20200101000000,20381231235959,apex-proprietary
32361.mcs,20200101000000,20381231235959,apex-proprietary
32362.mcs,20200101000000,20381231235959,apex-proprietary
32363.mcs,20200101000000,20381231235959,apex-proprietary
32364.mcs,20200101000000,20381231235959,apex-proprietary
